date,open,high,low,close,adj_close,volume,symbol,currency,ret,log_ret
26-04-2024,3855.15,3876.8,3802.55,3821.35,3648.85,2039178,Sun Pharmaceutical Industries L,INR,-0.008008411,-0.00804065
29-04-2024,3838,3877.8,3819.2,3870.2,3695.5,1110693,Sun Pharmaceutical Industries L,INR,0.01278344040718582,0.012702421965245847
30-04-2024,3872,3881.75,3810,3820.65,3648.18,2203078,Sun Pharmaceutical Industries L,INR,-0.012802956,-0.01288562
02-05-2024,3778.05,3871.1,3778.05,3863.3,3688.91,2491044,Sun Pharmaceutical Industries L,INR,0.011163021998874534,0.011101175307157263
03-05-2024,3890.15,3893.6,3797.6,3843.4,3669.91,2962234,Sun Pharmaceutical Industries L,INR,-0.005151037,-0.005164349
06-05-2024,3853,3939.95,3853,3921.05,3744.05,2053831,Sun Pharmaceutical Industries L,INR,0.020203465681427835,0.020002083561719175
07-05-2024,3930.8,3988,3913.5,3978.95,3799.34,2062112,Sun Pharmaceutical Industries L,INR,0.014766452863391066,0.014658490316580952
08-05-2024,3961,3984.3,3938.6,3976.95,3797.43,1247685,Sun Pharmaceutical Industries L,INR,-0.000502645,-0.000502772
09-05-2024,3962,3971,3910.05,3960.2,3781.43,1726486,Sun Pharmaceutical Industries L,INR,-0.00421177,-0.004220665
10-05-2024,3962.6,3973.6,3885.05,3893.9,3718.13,1672489,Sun Pharmaceutical Industries L,INR,-0.016741579,-0.016883303
13-05-2024,3884.5,3955,3870,3947.8,3769.59,931326,Sun Pharmaceutical Industries L,INR,0.013842163383753991,0.013747235640646949
14-05-2024,3936,3945.8,3892.9,3901.2,3725.1,1058317,Sun Pharmaceutical Industries L,INR,-0.011804043,-0.011874264
15-05-2024,3904.5,3926.95,3875.5,3880.4,3705.24,1115021,Sun Pharmaceutical Industries L,INR,-0.005331693,-0.005345957
16-05-2024,3891.1,3909.5,3843.5,3900.95,3751.93,2599399,Sun Pharmaceutical Industries L,INR,0.0052958457890939226,0.005281872111034147
16-05-2024,28 Dividend,,,,,,Sun Pharmaceutical Industries L,INR,,
17-05-2024,3919,3920,3830,3834.1,3687.63,2765804,Sun Pharmaceutical Industries L,INR,,
21-05-2024,3830.6,3844.75,3810.05,3820.2,3674.27,1908117,Sun Pharmaceutical Industries L,INR,-0.003625362,-0.003631949
22-05-2024,3835,3841.25,3817.55,3832,3685.61,1311168,Sun Pharmaceutical Industries L,INR,0.0030888435160463246,0.0030840828397167286
23-05-2024,3840.95,3905,3825.5,3893.45,3744.72,2095742,Sun Pharmaceutical Industries L,INR,0.016036012526095877,0.0159087939278173
24-05-2024,3878.25,3883.8,3844.3,3849.5,3702.45,1309452,Sun Pharmaceutical Industries L,INR,-0.011288189,-0.011352384
27-05-2024,3855,3908.35,3841.35,3847.05,3700.09,1841538,Sun Pharmaceutical Industries L,INR,-0.000636446,-0.000636649
28-05-2024,3858,3870,3830,3839.9,3693.21,1801993,Sun Pharmaceutical Industries L,INR,-0.001858567,-0.001860296
29-05-2024,3848.9,3848.9,3800,3803.65,3658.35,1568095,Sun Pharmaceutical Industries L,INR,-0.00944035,-0.009485193
30-05-2024,3777,3794.4,3715.45,3736.1,3593.38,2919230,Sun Pharmaceutical Industries L,INR,-0.017759258,-0.017918845
31-05-2024,3740,3749.8,3653.75,3670.95,3530.72,10956800,Sun Pharmaceutical Industries L,INR,-0.01743797,-0.017591802
03-06-2024,3732.8,3751.55,3696,3702.85,3561.4,2156773,Sun Pharmaceutical Industries L,INR,0.008689848676773027,0.008652309259572277
04-06-2024,3700,3745,3591.5,3715,3573.08,3395997,Sun Pharmaceutical Industries L,INR,0.0032812563295840924,0.0032758847551672687
05-06-2024,3716,3783.8,3700,3746.45,3603.33,2799670,Sun Pharmaceutical Industries L,INR,0.008465679676985083,0.008430046774046573
06-06-2024,3781,3839.9,3741.5,3830.4,3684.08,4328036,Sun Pharmaceutical Industries L,INR,0.022407879459221514,0.022160511437748553
07-06-2024,3837.3,3915,3837.3,3893.95,3745.2,4552445,Sun Pharmaceutical Industries L,INR,0.016590956558061754,0.016454830218975758
10-06-2024,3895,3905.9,3841.9,3858.7,3711.29,1734661,Sun Pharmaceutical Industries L,INR,-0.009052505,-0.009093727
11-06-2024,3845,3879.95,3841,3852.1,3704.95,1419898,Sun Pharmaceutical Industries L,INR,-0.001710421,-0.001711885
12-06-2024,3874.4,3893.5,3827.45,3831.65,3685.28,2177001,Sun Pharmaceutical Industries L,INR,-0.005308793,-0.005322934
13-06-2024,3856.8,3890,3852,3878.15,3730,1932323,Sun Pharmaceutical Industries L,INR,0.012135763965915425,0.012062715983931938
14-06-2024,3889,3889,3828,3832.05,3685.66,1860730,Sun Pharmaceutical Industries L,INR,-0.011887111,-0.011958328
18-06-2024,3826.05,3842,3795.05,3815.1,3669.36,1774045,Sun Pharmaceutical Industries L,INR,-0.00442322,-0.004433031
19-06-2024,3827.65,3833.85,3792.95,3801.7,3656.47,1509050,Sun Pharmaceutical Industries L,INR,-0.003512359,-0.003518542
20-06-2024,3796,3809.95,3780.05,3787.25,3642.57,2846526,Sun Pharmaceutical Industries L,INR,-0.003800931,-0.003808173
21-06-2024,3827,3877.8,3798.05,3810.75,3665.18,4642195,Sun Pharmaceutical Industries L,INR,0.006205030034985848,0.006185858103517461
24-06-2024,3808.75,3857,3791.3,3816.8,3671,1702154,Sun Pharmaceutical Industries L,INR,0.0015876139867481154,0.0015863550599473086
25-06-2024,3817,3847.65,3792.9,3838.45,3691.82,1338808,Sun Pharmaceutical Industries L,INR,0.005672290924334522,0.005656264059632932
26-06-2024,3844.5,3866.95,3841,3855.85,3708.55,1639845,Sun Pharmaceutical Industries L,INR,0.0045330797587568306,0.00452283629732797
